id,abbr,state,posHealth,onStamps,offStamps,checkUp1y,noDiploma_25YO,yesDiplomaNMore_25YO,,0.418827049,-0.418827049,0.349496636,-0.350581202
1,AL,Alabama,44.7,15.8,84.2,72.1,15.3,84.8,,,,,
2,AK,Alaska,56.3,10.3,89.7,57.8,7.1,92.9,,,,,
3,AZ,Arizona,50.6,13.1,86.9,63.9,13.9,86.1,,,,,
4,AR,Arkansas,44,14.4,85.6,66.1,14.6,85.3,,,,,
5,CA,California,52,9.5,90.5,66.6,17.9,82.2,,,,,
6,CO,Colorado,57.4,8.9,91.1,62.7,9.4,90.6,,,,,
7,CT,Connecticut,58.2,12.8,87.2,72,10,90.1,,,,,
8,DE,Delaware,51.5,12.9,87.1,74,11.1,88.9,,,,,
9,DC,District of Columbia,62,14.1,85.9,74,9.8,90.1,,,,,
10,FL,Florida,49.5,14.8,85.2,73,12.8,87.2,,,,,
11,GA,Georgia,49.6,15.7,84.3,71.7,14.4,85.5,,,,,
12,HI,Hawaii,49.4,11.7,88.3,67.6,8.3,91.8,,,,,
13,ID,Idaho,57.1,11.8,88.2,58,9.9,90.2,,,,,
14,IL,Illinois,50.3,13.7,86.3,69.2,11.8,88.2,,,,,
15,IN,Indiana,46.3,12.8,87.2,65.1,11.6,88.5,,,,,
16,IA,Iowa,55.3,11.9,88.1,71,7.9,92,,,,,
17,KS,Kansas,53.4,9.5,90.5,67.8,9.7,90.3,,,,,
18,KY,Kentucky,44.9,17.5,82.5,71.9,15.5,84.4,,,,,
19,LA,Louisiana,47.8,15.7,84.3,75.5,16.4,83.7,,,,,
20,ME,Maine,56,16.9,83.1,71.8,8.3,91.7,,,,,
21,MD,Maryland,56,11.6,88.4,74.7,10.4,89.5,,,,,
22,MA,Massachusetts,58.5,13,87,78.5,10.4,89.7,,,,,
23,MI,Michigan,50.4,16.2,83.8,71.8,10.1,89.9,,,,,
24,MN,Minnesota,57.7,9.2,90.8,69.8,7.5,92.6,,,,,
25,MS,Mississippi,44.3,18.1,81.9,72.6,17.2,82.7,,,,,
26,MO,Missouri,52,12.8,87.2,67,11.2,88.9,,,,,
27,MT,Montana,54.5,11.1,88.9,63.6,7.4,92.6,,,,,
28,NE,Nebraska,55.8,9.4,90.6,63.3,9.7,90.2,,,,,
29,NV,Nevada,47.7,12.3,87.7,63.8,14.9,85.2,,,,,
30,NH,New Hampshire,60,7.9,92.1,69.3,7.9,92.2,,,,,
31,NJ,New Jersey,52.6,9.2,90.8,75.9,11,89.1,,,,,
32,NM,New Mexico,45.3,15.5,84.5,62,15.8,84.3,,,,,
33,NY,New York,51.1,15.6,84.4,74.9,14.3,85.8,,,,,
34,NC,North Carolina,50.7,14.4,85.6,75.6,13.5,86.4,,,,,
35,ND,North Dakota,54.8,8.2,91.8,64.3,7.8,92.3,,,,,
36,OH,Ohio,50.6,14.9,85.1,70.7,10.7,89.4,,,,,
37,OK,Oklahoma,46.9,13.8,86.2,63.8,12.7,87.2,,,,,
38,OR,Oregon,54.1,18.9,81.1,62.5,10.3,89.7,,,,,
39,PA,Pennsylvania,52.9,13,87,72.6,10.6,89.4,,,,,
40,RI,Rhode Island,55.7,17.5,82.5,80.3,14.2,85.7,,,,,
41,SC,South Carolina,49.7,14.3,85.7,67.7,13.8,86.1,,,,,
42,SD,South Dakota,55.9,10.9,89.1,69.6,8.3,91.7,,,,,
43,TN,Tennessee,46.4,17.6,82.4,74.5,14.2,85.8,,,,,
44,TX,Texas,46.1,13.1,86.9,67.6,17.8,82.2,,,,,
45,UT,Utah,58.4,8.1,91.9,58,8.6,91.4,,,,,
46,VT,Vermont,59.7,14.3,85.7,67.6,8,92.1,,,,,
47,VA,Virginia,54.5,9.9,90.1,73.4,11.5,88.6,,,,,
48,WA,Washington,53.2,14.1,85.9,64.1,9.5,90.4,,,,,
49,WV,West Virginia,41.7,16.4,83.6,77.2,14.9,85.2,,,,,
50,WI,Wisconsin,54.1,13.1,86.9,69.9,8.7,91.3,,,,,
51,WY,Wyoming,55.9,6.7,93.3,58.4,7.5,92.6,,,,,
52,PR,Puerto Rico,31,38.7,61.3,76.4,26.1,73.9,,,,,